method,alpha,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,n_realizations,n_clusters,robust_mean_relative_rmse_across_noise,positive_gain_noise_levels,required_positive_gain_noise_levels
savitzky_golay,0.02,savgol|w=21|p=3,21,3,,,,,,0.16845208676805073,6.272066768605703e-05,0.010493321721194661,3.11127104437635e-07,0.42413593312868203,0.0012505344459095408,10,5,0.029421693881328793,4,3
savitzky_golay,0.05,savgol|w=21|p=3,21,3,,,,,,0.2740859990193868,8.940137443162426e-05,0.017072188434539025,4.706606653939973e-07,0.6252807256702122,0.00031969974797532567,10,5,0.029421693881328793,4,3
savitzky_golay,0.1,savgol|w=21|p=3,21,3,,,,,,0.49226421674462895,0.00016653133323546237,0.03065965463738989,8.657154109806504e-07,0.6635560113136303,0.00015565246410130146,10,5,0.029421693881328793,4,3
savitzky_golay,0.2,savgol|w=21|p=3,21,3,,,,,,0.9547454147140947,0.0004892621329602286,0.059461610732191604,2.3219506293415143e-06,0.6737660788685533,0.00010658041474358302,10,5,0.029421693881328793,4,3
