alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.02,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,0.9573405788859842,0.006174783622554003,0.059651154713124224,2.8653301755211098e-05,-2.2741809773441113,0.10220525877509033,0.4726818364849309,0.0012653331818100952,1.15485285070401,0.022613294658629334,1.0893935175032232,0.0016597389734937813,10,5,True
0.02,savitzky_golay,savgol|w=21|p=5,21,5,,,,,,0.12001158795576003,7.735895592890321e-06,0.00747346482806815,2.065305312215246e-08,0.5900217804361947,6.824044705917387e-05,0.05287212767733762,3.6690982197354463e-06,0.05996579173067821,3.0587138792975615e-06,0.19183339966727359,2.3536119083616286e-05,10,5,True
0.05,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,0.9713307116845324,0.006092522412247727,0.06052221737828155,2.836777995776007e-05,-0.3287824505129186,0.016240053937024032,0.47864123452670587,0.0012203950180787809,1.1576678583688493,0.022491847484306843,1.1204624260289482,0.0017048865595590238,10,5,True
0.05,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.2740859990193868,8.940137443162426e-05,0.017072188434539025,4.706606653939973e-07,0.6252807256702122,0.00031969974797532567,0.12176041027802094,1.1149154399515984e-05,0.2017399484768933,7.110230078976333e-05,0.4119271916596949,0.00025620556917177494,10,5,True
0.1,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,1.0197016950465778,0.005841549119649561,0.06353398629104727,2.751447159804116e-05,0.3025707009537781,0.003979303123194764,0.4993249501656466,0.001080055245649076,1.1676620951662753,0.022069396992511963,1.224937554663567,0.0018955613999289184,10,5,True
0.1,savitzky_golay,savgol|w=21|p=3,21,3,,,,,,0.49226421674462895,0.00016653133323546237,0.03065965463738989,8.657154109806504e-07,0.6635560113136303,0.00015565246410130146,0.21975659421887062,6.43047467226512e-05,0.28261102348692757,0.00013401302341494315,0.7735142696349596,0.0005489622448803793,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,1.1935029095800203,0.005267653957386796,0.07435619893165166,2.5772646275842023e-05,0.5919233359914392,0.0009643254725649859,0.5744841286187752,0.0007306860327498595,1.206757305370436,0.02053948367698393,1.5746011255186203,0.0028659700823333014,10,5,True
0.2,savitzky_golay,savgol|w=41|p=5,41,5,,,,,,0.8823825590479313,0.0005377398426275626,0.054959189386660647,3.047341726063045e-06,0.698451116614997,0.00013582664156754757,0.39450626657529214,0.0002311142534622412,0.5144536767715566,0.0002836331204085878,1.3834325454813656,0.001970996532770404,10,5,True
