alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=1,,,128,0.25,4.0295275590551185,compact_polynomial,1,12.307009185101865,0.01381156347824949,0.766415604297501,1.1778027808054139e-07,-3.2043295217083054,0.0016226033312312703,6.093957411427793,0.0037007980991852433,6.951110344529992,0.009175454851174963,19.20713054334488,0.05269280457806777,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=2,,,128,0.25,4.0295275590551185,compact_polynomial,2,12.977962226037963,0.015569164335700344,0.8081986182233998,1.373495056128633e-07,-3.4335370714621214,0.0017867093346314634,6.420504450377271,0.004031348554525853,7.316299378572275,0.009379178559542138,20.26107623443938,0.05852767776970121,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=3,,,128,0.25,4.0295275590551185,compact_polynomial,3,13.399776490912933,0.016560767919244553,0.8344670313050528,1.270745554102951e-07,-3.57763706755372,0.001897671256500494,6.626629651330207,0.004197995019588432,7.548206244139466,0.009698223086587066,20.922556895778463,0.062039829795856136,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=4,,,128,0.25,4.0295275590551185,compact_polynomial,4,13.690703915573327,0.01721935393377554,0.8525845648606826,1.1500785614539122e-07,-3.67702426427496,0.0019795983762103996,6.769056270253593,0.004302594026181148,7.708956303163346,0.00997174554623995,21.378408635585473,0.06442522788979907,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=6,,,128,0.25,4.0295275590551185,compact_polynomial,6,14.072392969359313,0.018086266877649904,0.8763543168957387,9.827306188536105e-08,-3.8074179814770384,0.00209246220378857,6.956191440927958,0.004436557759815853,7.920652734161713,0.010354692771429972,21.976098562235855,0.06757043386720085,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.25|degree=8,,,128,0.25,4.0295275590551185,compact_polynomial,8,14.317099282179772,0.018641520615651434,0.8915934650266308,8.626043310276826e-08,-3.891015408336719,0.0021674004719025577,7.076326726127337,0.004519997643113867,8.05683031913232,0.010610366732806586,22.359070659184916,0.06959146173544326,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.5|degree=1,,,128,0.5,8.059055118110237,compact_polynomial,1,6.897595376354367,0.0024943824970521116,0.4295564584743108,4.221652599650691e-06,-1.3565072702395764,0.0011397180056538312,3.5408068105002415,0.001258101713872929,4.2220374218784205,0.012902338227886924,10.5996410781979,0.012264590777231126,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.5|degree=2,,,128,0.5,8.059055118110237,compact_polynomial,2,8.96639809499744,0.00628108026081929,0.5583835140938168,9.15458315702762e-07,-2.0631643875433556,0.0011651048748384108,4.4955081041781035,0.0019940480192066705,5.210311754593316,0.009635961923046929,13.921801427433445,0.02644130669850067,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.5|degree=3,,,128,0.5,8.059055118110237,compact_polynomial,3,10.103969291139384,0.008820310037351335,0.629223322378375,4.049194164792432e-07,-2.4517532502863792,0.0012697289656158394,5.033739958113779,0.0025972276949724955,5.786804410650461,0.008939718865072945,15.729867539392359,0.03518146990829306,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=0.5|degree=4,,,128,0.5,8.059055118110237,compact_polynomial,4,10.840980412170232,0.010535086530707886,0.6751195924348348,2.664654242603684e-07,-2.70351835850487,0.001368176283540379,5.386141130923539,0.0029948342001961514,6.170118383341938,0.008778687716545185,16.896233836188948,0.041044588681485104,10,5,True
